id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
SKU_10147_12667,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 17.5', Collar: Classic Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=17-5&attribute_pa_collar=classic,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Classic Collar"
SKU_10147_12668,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 17.5', Collar: Modern Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=17-5&attribute_pa_collar=modern,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Modern Collar"
SKU_10147_12669,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 18', Collar: Classic Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=18&attribute_pa_collar=classic,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Classic Collar"
SKU_10147_12670,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 18', Collar: Modern Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=18&attribute_pa_collar=modern,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Modern Collar"
SKU_10147_12671,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 18.5', Collar: Classic Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=18-5&attribute_pa_collar=classic,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Classic Collar"
SKU_10147_12672,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 18.5', Collar: Modern Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=18-5&attribute_pa_collar=modern,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Modern Collar"
SKU_10147_12656,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 14.5', Collar: Modern Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=14-5&attribute_pa_collar=modern,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Modern Collar"
SKU_10147_12657,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 15', Collar: Classic Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=15&attribute_pa_collar=classic,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Classic Collar"
SKU_10147_12658,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 15', Collar: Modern Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=15&attribute_pa_collar=modern,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Modern Collar"
SKU_10147_12659,"Black Nano Check in Cube Semi-Formal Shirt","TSB Shirt Size: 15.5', Collar: Classic Collar",https://www.pakshopping.com.pk/wp-content/uploads/2021/04/SKU_10147.jpg,https://www.pakshopping.com.pk/product/black-nano-check-in-cube-semi-formal-shirt/?attribute_pa_tsb-shirt-size=15-5&attribute_pa_collar=classic,"Formal Shirts, Men's Clothing, Shirts &amp; Polos","Pak Shopping - Clothing & Footwear",5800PKR,in stock,SKU_10147_12654,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2880PKR,new,published,,,,,,,"collar:Classic Collar/Modern Collar:Classic Collar"
